UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
37031,81983,Worldwide,07/04/2020,"With many modes of shopping restricted, consumer e-commerce numbers are at a record high ??Our Global Head of E-commerce Mudit Jaju [@jajumudit] shares his thoughts on what brands should be considering for their online presence?#GrowFearless 
https://t.co/CgMcksgV2F https://t.co/4NEuJdrGjn",Negative
35964,80916,"Taber, Alberta",07/04/2020,As retailers are forced to close their doors to combat #COVID19 the biggest concern is how to compensate for lost in-store revenue. @Shopify is offering a 90-day free trial! A good resource if you need to move your retail store online. https://t.co/jtr44Yxp0R,Negative
11479,56431,Neighbourhood Voices Young Vic,19/03/2020,Pretty despicable of markets to rack up prices during a time like this. @lambeth_council how you dealing with profiteering? #Coronavirus,Positive
14055,59007,,20/03/2020,"It's no bloody wonder people are panic buying with shite like this in the daily rags ?
Actually encouraging stockpiling #CoronaCrisis
#Covid_19 #StopHoarding

Here's how much food you need to stockpile for two weeks in self-isolation due to coronavirus https://t.co/xkROz2oCzf",Negative
31422,76374,India,03/04/2020,"The bench noted that 
"".... all necessary steps to publicise the notification dated March 27, 2020 which had fixed the prices of masks &amp; sanitisers must be taken &amp; immediate actions must be taken against violators.....""
#COVID2019 #Covid_19",Negative
27965,72917,"New York, NY",26/03/2020,Microban Multi Purpose Cleaner 1 Qt Sanitizer Disinfectant https://t.co/pDC1m4ikxH #coronavirus #covid_19 #covid19 https://t.co/ZBU6xBGC0z,Positive
36215,81167,"Toronto, Ontario",07/04/2020,"Although we saw less listings compared to this time last year for obvious reasons, homes sales and prices are still up! ?

Do you need to buy or sell? ?

Ask me about our COVID-19 Action-Plans ?? https://t.co/szi8U6j1I4",Neutral
39885,84837,Stockholm,09/04/2020,is a wake up call to end sky high medicine prices We urge the EU to ensure that public funding into treatment research results in medicines that are affordable to all Read our media release hot off the press,Positive
26883,71835,"Minnesota, USA",25/03/2020,Not all heroes wear capes Especially the men and women who are on the front lines of the COVID 19 Coronavirus pandemic including doctors nurses grocery store workers truck drivers researchers and many more We appreciate all you do,Positive
17449,62401,"Saragossa, Spain",21/03/2020,"I live in Spain, the lockdown  has been in place for five days here and guess what, supermarket shelves are pretty much fully stocked. There's no need for this ridiculous panic buying/hoarding #Covid_19 #CoronaCrisis #CoronaCrisisuk #YoMeQuedoEnCasa",Negative
5935,50887,United States,17/03/2020,I came home to an almost empty grocery store #Safeway so I decided to print it on my shoe with hope that it will go away. #COVID2019 wishing all of us good health. #fightingcoronavirus https://t.co/VgXh4m7X0Q,Positive
14959,59911,London,20/03/2020,"If you spot any stores hiking prices up, exploiting those in need by price gouging report it here:
https://t.co/i9HtCNWKEm

Share the stores name and location and it will be dealt with.

Don't let them get away with greed. Please RT.

#COVID19 #coronavirus #CoronavirusOutbreak",Negative
34959,79911,NJ NYC Philly AC Central NJ,06/04/2020,Exclusive: Honeywell Pressures Suppliers To Cut Prices 30% #HoneyWell #Coronavirus $HON https://t.co/4fs94CXJQq via @BarronsOnline,Negative
34454,79406,"The Goldfields, Victoria, Australia",06/04/2020,Government boosts seniors meal delivery amid COVID 19 demand increase people 70 amp over should be limiting contact with others is why meal services have become so important as older people look towards community food programs exp,Positive
25010,69962,"Long Beach, CA ",25/03/2020,"Online shopping and e-commerce has increased drastically as the spread of COVID-19 continues. ? A new report from cybersecurity firm Red Points, highlights what online consumers are seeking and some of their main concerns about purchasing online. https://t.co/0C5Y8FtMm4",Positive
20393,65345,Warrington ,22/03/2020,"Felt 10x more at risk in the supermarket than I have ever felt in the pub ? Touch screen check outs with no hand sanitiser, busy isles, using trolleys and baskets used by other people. Surely something needs to be done about that? #COVID?19 #coronavirus",Positive
22954,67906,Oldham,24/03/2020,We keep hearing of many shops hiking up their prices as if this crisis wasn t bad enough Feel free to add to this thread with shops to avoid stay loyal to You can report directly here oldham,Negative
13748,58700,Glasgow,20/03/2020,Anyone else want to post a photo of a supermarket with empty shelves in it as feel I haven't seen that image enough times yet #panicbuying #coronavirus,Negative
21772,66724,"Columbia/Jefferson City, MO",23/03/2020,"Governor Parson signed an executive order that allows restaurants to sell unprepared food to the public. Parson hopes this will help restaurants financially, avoid waste and meet the increased demand for food.

https://t.co/dMybPRrcLT",Positive
6268,51220,"Penang ,Malaysia",17/03/2020,"While everyone panic about the food during restrictions of movement (bcuz of covid-19), I'm worried about my studies problems ?",Negative
35238,80190,"Raleigh, NC",06/04/2020,The Watiyankha Empowerment group celebrates their successful harvest of maize and soy beans a week before Malawi confirms its first case of #coronavirus. Careful planning = Food stock &amp; harvest in dry storage before the practice of physical distancing was implemented. https://t.co/dqV0Q8Eo3Q,Positive
26069,71021,"Toronto, Ontario",25/03/2020,Hi family: Just in case you are not able to find hand sanitizer in stores. You can make it yourself. DIY HAND SANITIZER - Protect yourself from the CORONAVIRUS COVID-19 OUTBREAK - https://t.co/zZ1vLRFoVk #coronavirus #covid19 #outbreak #handsanitizer #smallyoutubecommunity,Positive
20631,65583,United States,23/03/2020,announcing DOJ is going after industrial level hoarding not fearful people buying more than you need at the grocery store,Positive
24571,69523,Houston,25/03/2020,"Asian petchems shares tracked the US rally overnight while crude oil prices rose more than $1/bbl amid expectations that the US will soon approve a $2 trillion stimulus package.
#coronavirus #COVID19 #petrochemicals #shares #stimulus #asia #us https://t.co/U4M1jGNbg4",Negative
24055,69007,Uganda,24/03/2020,Coronavirus: Museveni warns sneezing people to stay home and traders not hike item prices - https://t.co/ArMxXYLb0y  #Coronavirus #Dr.JaneRuthAcheng #Health #National #News https://t.co/03Ms4hDel0,Negative
14672,59624,Shakey Wakey ,20/03/2020,"For some reason unknown to myself I stopped at a supermarket and purchased 4 cans of Guinness, some apples, 12 bread rolls with a short date and a bag of dishwasher tablets. What the fuck can I make with that lot? #coronavirus",Negative
37848,82800,United Kingdom,08/04/2020,Coronavirus Police hunt pair who licked hands and wiped them on supermarket food It s about time we had actions like this labelled as and prosecuted as domestic terrorism Even without Covid 19 this is totally unacceptable,Negative
23690,68642,"Sheffield, England",24/03/2020,"@RoadsideMum are there any mutual aid grouos in your area who could do a supermarket run? there's a list here but you might find others by searching on Facebook:
https://t.co/3NIEy9OTOz",Neutral
16091,61043,Sydney,21/03/2020,Good news hoarders There are plentiful supplies of spam and Easter eggs on supermarket shelves Jan Storey Beaumaris letters 19,Positive
39454,84406,Canada,09/04/2020,Why Canada's dairy farmers are dumping milk despite food supply issues in COVID-19 https://t.co/KY86VMLZwm https://t.co/hnblklkFWH,Negative
6072,51024,"Phoenix, AZ",17/03/2020,"Voted this morning. In and out of the polling place in 10 minutes. Went to the local farm store and waited an hour in line to buy eggs because the grocery stores are out. 

#coronavirus",Neutral
17864,62816,Silicon Valley | SF | 39.5K Ft,21/03/2020,"@mccrory @Costco MyPOV: more of one gender too =)

#toiletpaper #crchat #coronavirus #covid19",Neutral
35142,80094,India,06/04/2020,"With the advent of #coronavirus, vehicle #sales in India have plunged. Also, the #BS6 emission norm implemented on the 1st of April also went unnoticed. Manufacturers have hiked prices, #Bajaj has followed suit. #TheGoMechanicBlog
 https://t.co/DStSzqbLtO

#BharatStage6 #Covid19",Neutral
32175,77127,Nadi,04/04/2020,Today at a supermarket we saw people who were wearing masks take off their masks to greet each other with kisses on the cheek  why wear the masks in the first place So frustrating that people are being this careless,Negative
24168,69120,,25/03/2020,This grocery store isn t assuming you know what six feet looks like,Positive
26746,71698,,25/03/2020,@JackMa Hi Mr Jack Ma PLEASE I need your help financialy for my family so we can stock up food because of covid_19 am from Nigeria. My name Success justice my account number is 0214996028 my bank is GT Bank Nigeria.I appreciate your kindness greatly God b,Positive
28854,73806,,29/03/2020,"I will show you the current situation of covid19 in Japan.Ueno, Asakusa and Shinjuku in Tokyo. The state of the supermarket was also quite different???https://t.co/pfUKq8ueuJ 

#japan #tokyo #ueno #asakusa #shinjuku #coronavirus #coronavirusjapan #CoronaLockdown #Covid_19 https://t.co/zRSv0cyHt7",Neutral
44028,88980,Land of the Sky Blue Waters,13/04/2020,Is it rude to ask someone to please back up? Had a lady standing RIGHT NEXT TO ME at the supermarket. ? #SocialDistancing #fail,Negative
40276,85228,"Houston, TX",09/04/2020,"Janey Williams opens her refrigerator and starts taking inventory.

Two dozen eggs, orange juice, four lemons, mustard, mayonnaise and a few bottles of water.

""That's it. It's not a lot.""

https://t.co/3uHWXKxItw",Neutral
40407,85359,"Chicago, IL",09/04/2020,"Well see more investments in the digital world than ever before and it will change consumer behavior moving forward: https://t.co/yJriFca967

#digital #covid19 #consumerbehavior https://t.co/CPxFFaG6qE",Neutral
32217,77169,,04/04/2020,"Were ready to decouple the ESM credit line from the sovereign debt crisis logic. No sense in linking pandemic crisis to a privatizations or labour market reform. Conditions must be virus-related, &amp; later countries must return to a stable position.",Negative
29266,74218,New York,31/03/2020,"Video from March 11: It will go away. Just stay calm. It will go away.
https://t.co/enbdgbZgxf https://t.co/KgZvwhh8FF",Positive
21373,66325,Los Angeles,23/03/2020,Some restaurants have had to defend their micro market prices including up to 3 for a roll of toilet paper,Neutral
16572,61524,,21/03/2020,I bought hand creme at the supermarket and felt like I had won the jackpot Priorities change 19,Positive
27427,72379,Iowa,26/03/2020,".@leerood wrote today about how attorneys general, including from Iowa, sent letters today to Amazon, Facebook, eBay, Walmart and Craigslist, warning them to more rigorously monitor for price gouging because of coronavirus https://t.co/8xXNyQFXVE",Negative
35399,80351,"Chicago, IL",07/04/2020,Cutting Through the Clutter Understanding Your Options to Navigate Your Business During the Pandemic Webinar Join ChiBizHub and Chicago Business Affairs amp Consumer Protection to discover all the resources to help your businesses manage through COVID 19 and beyond,Positive
8106,53058,Mumbai,18/03/2020,"London Metal Exchange to temporarily suspend trading on  iconic open-outcry dealing floor for 1st time since #WorldWarII as #uk tries to limit spread of #coronavirus 
@LME_news plays key role in setting #Global benchmark prices for #copper , #Aluminum  @CNBCTV18Live @CNBC_Awaaz",Negative
42166,87118,"Alameda, CA",11/04/2020,Interesting datapoint on the impact of #COVID__19 on consumer behavior. Its too early to make any call on long-term effects as this is likely previous cruise passengers responding to sales. It underscores the importance of building and maintaining trust.  https://t.co/NbVU7GfSzI,Positive
22249,67201,,23/03/2020,"@realDonaldTrump @POTUS @RandPaul Donald J. Trump, Im worried about the economic fallout of this covid-19 shelter in place, in combination with crashing oil prices!!! Ill cut to the chase. During the holidays my credit union has a program called �",Positive
42139,87091,"Dublin City, Ireland",11/04/2020,I reckon I've spotted a gap in the market. Queue up outside a supermarket and when near the top of the queue hold up a sign selling your spot. Genius! #COVID19 #coronavirus,Positive
32155,77107,"Alexandria, VA",04/04/2020,The Lower 9th Ward Grocery Store needs your help during #CoronavirusPandemic #Covid_19  https://t.co/SLdhap6gev,Positive
8820,53772,"San Antonio, TX",18/03/2020,Coronavirus: Trying to order groceries online? Some tips to do it successfully https://t.co/FXBmENc5m1 #coronavirus #groceries https://t.co/prGgLLcGP4,Positive
44404,89356,"Los Angeles, CA",13/04/2020,Lil #coronavirus #pandemic #meme for all  - Me using instacart vs when #groceries are delivered! #thestruggleisreal #covid19 #toiletpaper #socialdistancing bad #comedy retired #comedian #losangeles costco #winning https://t.co/RLhpDMmvYY,Negative
10170,55122,,19/03/2020,Grocery stores should really close down for awhile because their employees can easily spread #coronavirus this is coming from a concerned cashier who works around people who openly cough in the store I work at.,Positive
42264,87216,"Yaounde,Cameroon",11/04/2020,"Africa needs an initial $100 billion in financial support, because sharp declines in commodity prices, trade, and tourisma direct result of the pandemicare causing government revenues to dry up fast. #Covid19 #CoronaVirus #COVID?19 #Solidarity4Humanity https://t.co/I01Va3kQBB",Positive
9916,54868,"Lancaster, PA",19/03/2020,"Checks from the government Covid -19.  Scam warning.
https://t.co/dezCgGqSNh https://t.co/456Jt8q1Au",Negative
17675,62627,Kolkata & Howrah,21/03/2020,"??? *Hindustan Unilever commits Rs 100 cr to the nation in the fight against #Coronavirus; reduce the prices of sanitizers, handwash &amp; floor cleaners by 15%* https://t.co/OCnl6vgimQ",Negative
9909,54861,,19/03/2020,"Techinally 1st day of quarantine... went to the vets (aka just went to a parking lot), to the farm, &amp; the grocery store. Still on the search for flour.... ? #CoronaVirus",Neutral
9227,54179,"Port Melbourne, Melb Australia",19/03/2020,"WOW, so why Australian panic buying loads of TP ?.? 
 ??
Melbourne Coles "" distribution centre is packed &amp; loads 'stack of toilet paper in the warehouse
, but it can't get it on the supermarket quickly enough.. 

#toiletpapercrisis | 
#Covid_19 https://t.co/Y6Du34qHEt",Positive
21932,66884,"West Hills, Los Angeles",23/03/2020,California Launches New Comprehensive Consumer Friendly Website and Public Service Announcements to Boost COVID 19 Awareness Latest Coronavirus News Concerning the State,Positive
40052,85004,"Valencia, California",09/04/2020,"Consumer opinion of #SocialMedia has declined in recent years, but we could see another shift in thinking thanks to the recent demand for digital connection amid #SocialDistancing. Could positive messaging and content bring back consumer trust?https://t.co/69NAzCHZCA",Positive
37903,82855,"Shanghai, Volksrepublik China",08/04/2020,How Chinas consumer companies managed through the COVID-19 crisis: A virtual roundtable https://t.co/MsmJDoWH1M via @McKinsey,Negative
14912,59864,Dublin,20/03/2020,Some staff in my local SuperValu going home crying because of abuse from some customers. It's unconscionable. These people are at the front line keeping us stocked with basic essentials. Consider the pressure they are under. Show respect. If anything thank them for their service,Negative
24097,69049,,24/03/2020,"Although the #coronavirus outbreak has led to a massive upsurge in the demand for meat products, processing companies are facing challenges in order to fulfil that demand and keep supermarkets stocked https://t.co/PddWpedUoO",Negative
17395,62347,,21/03/2020,"Dear panic buyers, please stop bulk buying free from food, some of us actually need that food for our health! 
I would actually like to be able to eat more than my oats I have ????? #Covid_19",Positive
21381,66333,Illinois,23/03/2020,why are you allowing so much of toilet paper SHAME SHAME SHAME ON YOU AND THEM STOP saying you guys are stopping to sell related items needed You are letting people sell for 100 200,Negative
23629,68581,"Chicago, IL",24/03/2020,"Another Healthcare Marketing Matters blog post: Hospital COVID-19 Communications Today, Will Impact Future Consumer Decisions #hospital #crisiscommunications  #strategy #coronavirus #publicrelations #future https://t.co/nbCBwegzCK",Neutral
37564,82516,"Baltimore County, MD",08/04/2020,"An employee at a Giant supermarket in Largo has died of COVID-19, the disease caused by the new coronavirus, while a worker at the grocery chains Dundalk store has tested positive, the company confirmed Tuesday. https://t.co/sqEN3rHQ0X",Neutral
35698,80650,"San Antonio, TX",07/04/2020,"Me: is there anything ud like that we can get you for your 7th birthday this weekend? The grocery store wont be selling any cake but we can see what we can do.

Madeline: can I have a diet rootbeer float?  I've always wanted to try diet rootbeer. #mygirl #brightside #Coronavirus",Positive
13817,58769,Florida,20/03/2020,"??Whoops. Looks like we found *another* @GOP senator who ""suddenly"" dumped his stock holdings right after a private briefing on #coronavirus.

Senator @JimInhofe sold up to $500,000 of his stock on the Monday after his Friday (1/24) briefing.? https://t.co/XMQckhSghf",Negative
21434,66386,"Flint,MI",23/03/2020,  too accurate 19,Neutral
34141,79093,New York,06/04/2020,New NYS consumer guide from UHF with practical advice on how to replace lost health coverage or find a new health plan during these perilous times via,Negative
26917,71869,"Florida, USA",25/03/2020,@TeamGivingCom @TeamPulte Im in college and work retail and the store I work at had to close due to covid 19 so I can use any help,Positive
33770,78722,New Delhi,06/04/2020,"Me: Hey Girl, Are you sanitizer, bcoz. I wanna apply you all over my body 
.
.
.
Crush: Hey boy, are you Coronavirus, bcoz. I want to stay away from everything that might be in your contact.@Sarcaswari 

#lockdowneffect #COVID2019 #StayHomeSaveLives #sanitizer #coronavirus",Negative
22707,67659,"Tulsa, Oklahoma",24/03/2020,#NewToday Okla. Attorney General Issues Consumer Alert on COVID-19 At-Home Test Kits #2WorksForYou #Coronavirus #ConsumerAlert https://t.co/lYChB2NyT2 https://t.co/G1ecuhVOQS,Positive
10041,54993,"England, United Kingdom",19/03/2020,"Man tackled to ground by supermarket staff as he tries to steal full trolley of food

This is getting out of hand, this Covid-19 is more than just a virus, its becoming a mental illness crisis as its turning people to do these things.

https://t.co/MG3zKrEANm https://t.co/Je0MlNSrnk",Negative
5014,49966,"Dunedin, New Zealand",17/03/2020,Confirmed case of Covid-19 in Dunedin.  I know we'll come together and support each other through this as other communities are around the world. Pitchforks and firebrands to the Octagon at 7pm. Save your firearms and ammunition for the supermarket shoot-out this weekend,Positive
25211,70163,,25/03/2020,"ARE GROCERY STORE'S
SPREADING COVID-19
""IF TRUE""
WE GOT A PROBLEM??",Neutral
15603,60555,?Everywhere 4 sec or less?,20/03/2020,"With everyone going crazy over #Covid_19 and buying up the supermarket I just so happen come across this, the last one on the shelf! 
@Ripple! Its a sign from the heavens to #HODL your #XRP L?K??
@JoelKatz @bgarlinghouse #XRPCommunity https://t.co/kZDYWqXm0d",Positive
24680,69632,"Lethbridge, Buffalo",25/03/2020,Empire Co Ltd the owner of supermarket chains Sobeys Safeway and FreshCo has started the process to hire people with experience in the service industry Cineplex Freshii etc during the COVID 19 crisis,Negative
40244,85196,"What used 2 be California, USA",09/04/2020,"RIP Leilani and God Bless you for helping the elderly during this mess.

Grocery clerk, 27, helped elderly customers before dying of COVID-19 https://t.co/uUAiLIUxNr @MailOnline",Positive
23747,68699,"Hallandale Beach, FL",24/03/2020,".@Kroger hiring more than 10,000, changing store hours as #coronavirus spurs panic buying https://t.co/S8UkxI0hnY #FoxNews",Negative
11509,56461,York,19/03/2020,Has just braved local supermarket with staff amid #coronavirus.  Worried for all the lone elderly and vulnerable customers we saw on their own,Negative
30556,75508,Rabat - Salé - Zemmour - Zaër,02/04/2020,"Covid-19: Several Measures Taken to Strengthen National Agricultural Production and Ensure Comfortable Food Stock Levels (Statement)

https://t.co/aMXVKN04D6 https://t.co/teUKmYWdL7",Positive
37469,82421,"NY,NY-SF,CA-ALL POINTS BETWEEN",08/04/2020,Panic! At the supermarket: how covid-19 rewrote the shopping list https://t.co/Ph4WTDvSt5,Negative
39217,84169,"New York, NY",09/04/2020,How are consumers responding to brand messages around COVID-19? The @EdelmanPR Trust Barometer reports that how well a brand responds to this crisis will have a huge impact on consumer buying habits. Find out more at https://t.co/VQJ9MudBH6 https://t.co/Hd5YmkaG00,Positive
33633,78585,"New York, NY",06/04/2020,"Latest #4As COVID-19 news: The Culture Lab, a think tank of member agency @AlmaAgency, has released its Quarterly Cultural Digest taking its first look at the impact of the #coronavirus pandemic on multicultural consumer groups in the U.S. Read more here: https://t.co/PltPkd2dw7 https://t.co/t8e6MKZXqf",Neutral
40678,85630,,10/04/2020,"I was at the supermarket carefully socially distancing. Everyone was dodging each other in the aisles when ""Nowhere to Run"" came on the came on the supermarket speakers.

#covidlife #SocialDistancing #SocialDistanceHumor

https://t.co/bnfpUgYoWA",Neutral
12206,57158,"Nottingham, England",19/03/2020,"@piersmorgan 20,000 armed services at the ready .......if the doubters have a problem believing COVID 19 just take a trip to your local shop ,supermarket there is literally nothing on the shelves ...my day off yesterday from the NHS ,I went for my basic s",Negative
16773,61725,"Vancouver, British Columbia",21/03/2020,"@ring Hello! The company I work for is looking in buying some Video Doorbells since our stores are only open for Pick-Up in store. 

Do you think you can hook us up with a deal during this COVID-19 Pandemic? We have 12 retail locations ?",Neutral
35233,80185,"Niger, Nigeria",06/04/2020,"We need government intervention,
Prices of food stuff has skyrocketed, sellers are taking advantage of this covid-19 situation to make double gain. https://t.co/kDp3MqB7ew",Positive
18355,63307,"Los Gatos, CA",21/03/2020,The Ultimate Prepper https://t.co/E2KkjcJhfq We have 80 box roll of Scott's toilet paper in stock $49. #prepping #toiletpaper #coronapocolypse #coronavirus #outbreak #panicbuying,Neutral
15714,60666,Sydney ?? m&m's gang,20/03/2020,"At this point I'm pretty sure it's not COVID-19, but a case was confirmed at Castle Towers, which is a shopping centre down the road from my house and I'm there nearly every day. I also still had to travel out to uni on Monday before it changed to online. So im being careful",Positive
12451,57403,"Durham, NC",20/03/2020,Gee with  The consumer is strong the economy is strong jobs are growing   you forgot to include  My stock dump sales were strong  ,Positive
8189,53141,Pepperland,18/03/2020,"X-Files: COVID-19
-Yep, its alien
-Mulder is in Wuhan somehow
-With patient zero, Alex Krychek
-The Lone Gunmen have to get Scully clearance to go save him
-Cancer Man releases the vaccine right as theyre gonna kiss
-Random scenes of Skinner trying to find an open grocery store",Positive
12512,57464,Ksa,20/03/2020,Shoppers form long queue outside supermarket amid panic buying,Negative
43656,88608,,13/04/2020,"@Hailfinger1 @MBuhari @OfficialPDPNig @OfficialAPCNg In uk where covid 19 has killed over 10k people, people classified as key workers are still allowed to go to work, they include supermarket staff, taxi drivers, del drivers, teachers, social workers , u",Negative
19513,64465,Out of yr league,22/03/2020,If you see stores taking advantage of the public by hiking up their prices during the pandemic you can report them here Let s protect the vulnerable at this tricky time,Positive
26743,71695,Derbyshire,25/03/2020,"My life gets more bizarre by the day. Ive just had the following conversation.

Lady in Asda: why are you wearing marigold gloves in a supermarket?

Me: Because Im follow the advice provided by Ashley Young

??? @youngy18 #COVID2019",Negative
9120,54072,,18/03/2020,"So this happened in my town. A reminder, once again, that this is not Wuhan Virus or anything like that. Its COVID-19/coronavirus. The virus is not an excuse for racial profiling either. There is no excuse for racial profiling. #coronavirus #COVID19 https://t.co/DcLEvI3Ira",Neutral
41812,86764,"Karachi, Pakistan",11/04/2020,"Hemani Anti-Bacterial Hand Wash (200ml) has been restocked.

Shop Now: https://t.co/zZo2A4nGmW

?Price: Rs.99/- only
?Wholesale Prices
?Cash on Delivery

#Covid19 #CoronaVirus #Covid19Outbreak #BuyNow #OnlineShopping #ChaseValueCentre #Pakistan https://t.co/9BP1GYw9Xd",Positive
12661,57613,"Houston, TX",20/03/2020,If Ghana law ppl must WASH amp Sanitize hands B4 touching food in a supermarket that means WyPipo too Don t use power for me                       cc 19,Neutral
24669,69621,"West Midlands, England",25/03/2020,"Pressed by #coronavirus and falling #oil prices, #Alaska is running out of available cash

https://t.co/Fwu562oiyE

#energy #USA #America #OilPrice #COVID19 #Corona #Virus #gas #oilandgas #subsea #commodities #economics #markets #trading https://t.co/VMg5z5fBqN",Negative
7278,52230,,18/03/2020,Free Grocery Store Launched by Brad Paisley Is Delivering #Food to Older #Nashville Residents  https://t.co/kXhXgWhHah #Food #Kindness #Coronavirus,Positive
43664,88616,,13/04/2020,Our website has a wealth of information on how to protect yourself when you have to go out during this time protecting yourself from 19 at the gas pump staying safe when you go to the supermarket many more tips,Positive
15345,60297,The grim North,20/03/2020,Whats interesting is what food hasnt not been cleared from supermarket shelves. In my local Tesco its fresh fruit and vegetables #CoronaVirus,Positive
23514,68466,"Fort Lauderdale, Florida",24/03/2020,Are grocery stores the next Petri dish for Here s how to protect yourself,Positive
3998,48950,"Cambridge, MA",16/03/2020,Our retail store will be closed through the end of March. We are doing this to keep our staff and customers safe during the COVID-19 crisis. We WILL continue to fulfill and ship out orders placed online. Pickups will not be available until we return to regular hours. https://t.co/h1DQBiPbuB,Positive
36588,81540,,07/04/2020,"Something tells me 'free' and not 'need' attracted many of these cars. Notice not a hooptie among them. This is another Feed the Panic story.
#ChinaFlu #coronavirus
https://t.co/VCf6A3Peg9",Negative
19591,64543,"England, United Kingdom",22/03/2020,Fuck All you panic buyers!! This was the aftermath of going shop to shop trying to get toilet paper! #COVID?19 #coronavirus #toiletpaper https://t.co/Y2QYJwOmrt,Negative
28111,73063,United Kingdom,26/03/2020,"#Coronavirus Time to complete some life admin?

? A Club with a lease query
? Buying/selling a boat
? In need of some consumer advice

If you're a RYA member then our qualified Legal team are ready to help ?? 023 8060 4223 ?legal@rya.org.uk

??https://t.co/xrJH4wfeDR https://t.co/f98Ki2hGi9",Positive
18882,63834,Worcester,22/03/2020,Here s a question apart from stealing thecar keys how can we stop my grandparents from going out In the last 24 hrs they have visited the supermarket for the 7th time this week popped to the golf club for lunch with friends and visited the garden centre Any advice 19,Negative
16180,61132,"Islamabad, Pakistan",21/03/2020,"Good to know that the biggest online shopping platform of Pakistan @darazpk is taking precautionary measures in their products delivery process. WHO 's guidelines for COVID-19 are being followed

#StaySafeShopOnline",Positive
39598,84550,London,09/04/2020,"I was always crap (and disinterested) when it came to computer games, and that's what this evening's trip to the supermarket felt like. I'll be surprised if a number of us shoppers didn't pick up #covid19 in there this evening. #socialdistancing in the aisles isn't easy.",Positive
6956,51908,"Norwalk, Connecticut",18/03/2020,"The @DistilledSpirit Council is urging the #Pennsylvania governor to reconsider closing all liquor stores. #retail #coronavirus
https://t.co/QwCFg7gChy https://t.co/ZACdGqQETO",Neutral
20296,65248,,22/03/2020,"Shout out to all the millennials who, when their parents die of natural causes in a few years, have to clear out an extra panic-bought freezer full of stockpiled food ?? #lockdownUKnow #StopPanicBuying #coronavirus",Negative
4335,49287,To Infinity and Beyond,16/03/2020,"The sad part is... Should all the supply of food be exhausted cause panic stockup, it won't be Covid 19 that's killing people ""fight for survival will"" &amp; that's my panic #Makro  #Coronavirussouthafrica https://t.co/g7K8rtDoU5",Negative
30196,75148,"Montpellier, France",02/04/2020,"Latest analysis from @ICRISAT's Michael Hauser looks at #COVID19 and the comprehensible, but unnecessary panic buying of food. 

https://t.co/DD2j4wi5nc",Negative
10135,55087,"North East, UK",19/03/2020,"Profiteering in difficult times: General Pharmaceutical Council Chief Executive, Duncan Rudkin has issued the following statement in response to reports of some instances of raised prices and locum rates during the COVID-19 pandemic; Like many people I https://t.co/9GfJuJylqR",Negative
